text,label
현재 패혈증 의증(3 SIRS 기준만족) 증상을 가진 환자가 심각 상태입니다,2
"손,발,얼굴,회음부 부위의 부분 2도 이상의 화상을 호소하는 환자가 있습니다",2
면역억제 상태을 호소하는 환자가 있습니다,2
현재 출혈성 질환(생명이나 사지에 위급한 출혈) 증상을 가진 환자가 심각 상태입니다,2
"심각 상태로 분류된 환자가 최근발작, 발작 후 상태, 초조 증상을 보이고 있습니다",2
심각 상태로 분류된 환자가 계획적인 자살시도 증상을 보이고 있습니다,2
운동 중 발생함을 호소하는 환자가 있습니다,2
"얼굴 연조직염, 특히 안와주위 상태가 관찰되는 환자가 있습니다",2
이전 중증의 기왕력을 호소하는 환자가 있습니다,2
심각 상태로 분류된 환자가 시력장애 ± 안구통증 증상을 보이고 있습니다,2
급성 또는 갑작스런 시력변화 상태가 관찰되는 환자가 있습니다,2
혈중 글루코스<54mg/dl 이고 관련증상을 동반을 호소하는 환자가 있습니다,2
환자가 전구증상 없음 상태로 응급실에 방문했습니다,2
현재 두드러진 또는 중요한 토혈 증상을 가진 환자가 심각 상태입니다,2
환자가 많은양의 흑색변 또는 직장출혈 상태로 응급실에 방문했습니다,2
"현재 화학물질 노출,눈 증상을 가진 환자가 심각 상태입니다",2
아스피린 복용 가능성 있음 상태가 관찰되는 환자가 있습니다,2
"현재 급성,중증, 지금까지 경험했던 두통 중 가장 심함 증상을 가진 환자가 심각 상태입니다",2
환자가 중등도 탈수 증상을 보이며 심각 상태로 분류되었습니다,2
현재 전구증상 없음 증상을 가진 환자가 심각 상태입니다,2
고위험 물질/알 수 없는 물질 상태가 관찰되는 환자가 있습니다,2
심각 상태로 분류된 환자가 도주의 가능성이나 안전에 대한 위험 증상을 보이고 있습니다,2
현재 신경학적 손상 ±장과 방광의 기능장애 증상을 가진 환자가 심각 상태입니다,2
환자가 적절한 지혈에도 멈추지 않는 코피 증상을 보이며 심각 상태로 분류되었습니다,2
목쉰소리와 언어장애을 호소하는 환자가 있습니다,2
급성/갑작스런 시력변화을 호소하는 환자가 있습니다,2
심각 상태로 분류된 환자가 이전 중증의 기왕력 증상을 보이고 있습니다,2
현재 이전 중증의 기왕력 증상을 가진 환자가 심각 상태입니다,2
발작 후 상태을 호소하는 환자가 있습니다,2
현재 중증 불안/초조 증상을 가진 환자가 심각 상태입니다,2
"환자가 급성 정신병, 중증 불안/초조, 도주의 가능성이나 안전에 대한 위험 증상을 보이며 심각 상태로 분류되었습니다",2
환자가 두드러진 또는 중요한 토혈 증상을 보이며 심각 상태로 분류되었습니다,2
침흘림 또는 협착음 상태가 관찰되는 환자가 있습니다,2
환자가 자세변화에 의해 유발되지 않음 ±신경학적 증상의 동반 상태로 응급실에 방문했습니다,2
현재 손가락의 외상성 절단 증상을 가진 환자가 심각 상태입니다,2
심각 상태로 분류된 환자가 적절한 지혈에도 멈추지 않는 코피 증상을 보이고 있습니다,2
환자가 단독 흉부외상-관통상 증상을 보이며 심각 상태로 분류되었습니다,2
환자가 급성/갑작스런 시력변화 상태로 응급실에 방문했습니다,2
"얼굴 연조직염, 안와주위부 포함을 호소하는 환자가 있습니다",2
심각 상태로 분류된 환자가 급성 또는 갑작스런 시력변화 증상을 보이고 있습니다,2
현재 의식변화(GCS 9-13) 증상을 가진 환자가 심각 상태입니다,2
환자가 신경혈관장애 상태로 응급실에 방문했습니다,2
"현재 >324mg/dl, 증상 있음 증상을 가진 환자가 심각 상태입니다",2
현재 지속발기증 증상을 가진 환자가 심각 상태입니다,2
두드러진 또는 중요한 토혈 상태가 관찰되는 환자가 있습니다,2
환자가 계획적인 자살시도 증상을 보이며 심각 상태로 분류되었습니다,2
손가락의 외상성 절단을 호소하는 환자가 있습니다,2
"심각 상태로 분류된 환자가 적절한압박에도멈추지않는코피,또는관련 된내과적기저질환이있는경우 증상을 보이고 있습니다",2
"환자가 임신주수>20주, 태동없음/태아심음없음 증상을 보이며 심각 상태로 분류되었습니다",2
심각 상태로 분류된 환자가 둔상에 의한 시력소실 증상을 보이고 있습니다,2
자세변화에 의해 유발되지 않음 ±신경학적 증상의 동반 상태가 관찰되는 환자가 있습니다,2
의식변화(GCS 9-13) 상태가 관찰되는 환자가 있습니다,2
"심각 상태로 분류된 환자가 이상감각, 신경학적 징후 증상을 보이고 있습니다",2
"환자가 급성 정신병, 중증 불안/초조, 도주의 가능성이나 안전에 대한 위험 상태로 응급실에 방문했습니다",2
현재 급성/갑작스런 시력 장애 증상을 가진 환자가 심각 상태입니다,2
환자가 지속적인 구토 증상을 보이며 중증 상태로 분류되었습니다,3
고혈압(수축기혈압 200-220 그리고 이완기혈압 110-130) 고혈압 증상 동반 상태가 관찰되는 환자가 있습니다,3
피부가 창백함을 호소하는 환자가 있습니다,3
환자가 명백한 피부손상 없음 상태로 응급실에 방문했습니다,3
"중증 상태로 분류된 환자가 급성발병, 지속되는 증상 증상을 보이고 있습니다",3
질출혈-정상활력징후 상태가 관찰되는 환자가 있습니다,3
경증탈수을 호소하는 환자가 있습니다,3
중증 상태로 분류된 환자가 고혈압(수축기혈압≥220 혹은 이완기혈압≥130) 동반된 다른 증상 없음 증상을 보이고 있습니다,3
"환자가 성폭행, 안정되어 있음 증상을 보이며 중증 상태로 분류되었습니다",3
"중증 상태로 분류된 환자가 적은양, 정상 활력징후 증상을 보이고 있습니다",3
호흡곤란 없는 연하장애을 호소하는 환자가 있습니다,3
환자가 질출혈 (활력징후 정상) 증상을 보이며 중증 상태로 분류되었습니다,3
중증 상태로 분류된 환자가 육체적 폭행 또는 성폭행 증상을 보이고 있습니다,3
중증 상태로 분류된 환자가 의식소실의 병력 증상을 보이고 있습니다,3
"환자가 임신주수>20주, 양수 누출 가능성 증상을 보이며 중증 상태로 분류되었습니다",3
현재 급성발병 증상을 가진 환자가 중증 상태입니다,3
환자가 만성 중심성 중증 통증(8-10) 상태로 응급실에 방문했습니다,3
환자가 중요한 체중감소 상태로 응급실에 방문했습니다,3
경증호흡곤란 상태가 관찰되는 환자가 있습니다,3
환자가 분만(자궁수축>2분) 상태로 응급실에 방문했습니다,3
연하장애을 호소하는 환자가 있습니다,3
"환자가 적은양, 정상 활력징후 증상을 보이며 중증 상태로 분류되었습니다",3
환자가 전구증상 후 발병 또는 급격한 자세변화시 발병 증상을 보이며 중증 상태로 분류되었습니다,3
환자가 고혈압(수축기혈압 200-220 그리고 이완기혈압 110-130) 고혈압 증상 동반 증상을 보이며 중증 상태로 분류되었습니다,3
현재 비정상 맥박수/맥박압 (혈역학적으로 안정) 증상을 가진 환자가 중증 상태입니다,3
중증 상태로 분류된 환자가 명백한 변형 증상을 보이고 있습니다,3
구체적 계획이 없는 폭력적인 생각(ideation)을 호소하는 환자가 있습니다,3
현재 중등도 양의 흑색변 또는 직장출혈 증상을 가진 환자가 중증 상태입니다,3
중증 상태로 분류된 환자가 경증 호흡곤란 증상을 보이고 있습니다,3
환자가 경증탈수 상태로 응급실에 방문했습니다,3
"중증 상태로 분류된 환자가 석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함 증상을 보이고 있습니다",3
이물질의 가능성을 호소하는 환자가 있습니다,3
장기간의 척추고정을 호소하는 환자가 있습니다,3
급성 말초성 중증 통증(8-10) 상태가 관찰되는 환자가 있습니다,3
환자가 비정상 맥박수/맥박압 (혈역학적으로 안정) 증상을 보이며 중증 상태로 분류되었습니다,3
환자가 급성 말초성 중증 통증 (8-10) 상태로 응급실에 방문했습니다,3
환자가 두통 또는 의식상태의 변화를 동반하지 않는 급성착란 상태로 응급실에 방문했습니다,3
중증 상태로 분류된 환자가 급성 말초성 중증 통증(8-10) 증상을 보이고 있습니다,3
중증 상태로 분류된 환자가 급성 말초성 중증 통증 (8-10) 증상을 보이고 있습니다,3
"환자가 육체적 학대, 정신적 학대, 심각한 감정적 스트레스 상태로 응급실에 방문했습니다",3
질출혈 (활력징후 정상)을 호소하는 환자가 있습니다,3
중증 상태로 분류된 환자가 명백한 피부손상 없음 증상을 보이고 있습니다,3
"중증 상태로 분류된 환자가 성폭행, 안정되어 있음 증상을 보이고 있습니다",3
경증탈수 상태가 관찰되는 환자가 있습니다,3
"석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함 상태가 관찰되는 환자가 있습니다",3
급성 중심성 중등도 통증(4-7) 상태가 관찰되는 환자가 있습니다,3
"현재 자세변화에 의해 발생, 다른 신경학적 증상 없음 증상을 가진 환자가 중증 상태입니다",3
"현재 성폭행, 안정되어 있음 증상을 가진 환자가 중증 상태입니다",3
"환자가 회복된 상태, 명료한의식 상태로 응급실에 방문했습니다",3
현재 육체적 폭행 또는 성폭행 증상을 가진 환자가 중증 상태입니다,3
환자가 >= 2시간부터 <12시간 증상을 보이며 중증 상태로 분류되었습니다,3
환자가 중증외상-관통상 증상을 보이며 중증 상태로 분류되었습니다,3
>= 2시간부터 <12시간 상태가 관찰되는 환자가 있습니다,3
5-25% 체표면적의 화상 상태가 관찰되는 환자가 있습니다,3
환자가 예측 FEV1 혹은 PEER이 40-60%인 알려진 천식(중등도) 증상을 보이며 중증 상태로 분류되었습니다,3
현재 중등도 불안/초조 증상을 가진 환자가 중증 상태입니다,3
비정상 맥박수/맥박압 (혈역학적으로 안정) 상태가 관찰되는 환자가 있습니다,3
"중증 상태로 분류된 환자가 아파보임,<3 SIRS 기준 만족 증상을 보이고 있습니다",3
현재 질출혈-정상활력징후 증상을 가진 환자가 중증 상태입니다,3
중증 상태로 분류된 환자가 압박으로 지혈된 코피 증상을 보이고 있습니다,3
"중증 상태로 분류된 환자가 임신주수>20주, 양수 누출 가능성 증상을 보이고 있습니다",3
환자가 커피찌꺼기 모양 구토/흑색변 증상을 보이며 중증 상태로 분류되었습니다,3
현재 광범위한 염증 증상을 가진 환자가 중증 상태입니다,3
중등도 양의 흑색변 또는 직장출혈을 호소하는 환자가 있습니다,3
중증 상태로 분류된 환자가 경증탈수 증상을 보이고 있습니다,3
환자가 피부가 창백함 상태로 응급실에 방문했습니다,3
청색증 상태가 관찰되는 환자가 있습니다,3
예측 FEV1 혹은 PEER이 40-60%인 알려진 천식(중등도)을 호소하는 환자가 있습니다,3
환자가 커피찌꺼기모양 구토/흑색변 상태로 응급실에 방문했습니다,3
"환자가 회복된 상태, 명료한의식 증상을 보이며 중증 상태로 분류되었습니다",3
고혈압(수축기혈압≥220 혹은 이완기혈압≥130) 동반된 다른 증상 없음 상태가 관찰되는 환자가 있습니다,3
"환자가 육체적 학대, 정신적 학대, 심각한 감정적 스트레스 증상을 보이며 중증 상태로 분류되었습니다",3
이물질의 가능성 상태가 관찰되는 환자가 있습니다,3
환자가 분만(자궁수축>2분) 증상을 보이며 중증 상태로 분류되었습니다,3
명백한 변형 상태가 관찰되는 환자가 있습니다,3
"환자가 연기나 기타 물질 흡입, 호흡곤란 없음 상태로 응급실에 방문했습니다",3
환자가 중등도 불안/초조 상태로 응급실에 방문했습니다,3
">324mg/dl, 무증상 상태가 관찰되는 환자가 있습니다",3
현재 예측 FEV1 혹은 PEER이 40-60%인 알려진 천식(중등도) 증상을 가진 환자가 중증 상태입니다,3
중증 상태로 분류된 환자가 구체적인 계획이 없는 자살관념 증상을 보이고 있습니다,3
환자가 광범위한 염증 상태로 응급실에 방문했습니다,3
경증 호흡곤란 상태가 관찰되는 환자가 있습니다,3
"현재 적은양, 정상 활력징후 증상을 가진 환자가 중증 상태입니다",3
"환자가 석고붕대가 꽉 끼어 아프고, 신경혈관 장애를 동반함 증상을 보이며 중증 상태로 분류되었습니다",3
중증 상태로 분류된 환자가 5-25% 체표면적의 화상 증상을 보이고 있습니다,3
현재 명백한 피부손상 없음 증상을 가진 환자가 중증 상태입니다,3
외상없이 저절로 멍듦을 호소하는 환자가 있습니다,3
현재 압박으로 지혈된 코피 증상을 가진 환자가 중증 상태입니다,3
"환자가 저위험 노출, 속이 빈 주사바늘이 아닌경우 또는 저위험 감염원에서 액체가 튐 상태로 응급실에 방문했습니다",3
"현재 연기나 기타 물질 흡입, 호흡곤란 없음 증상을 가진 환자가 중증 상태입니다",3
중요한 체중감소 상태가 관찰되는 환자가 있습니다,3
환자가 의식소실의 병력 상태로 응급실에 방문했습니다,3
환자가 비정상 맥박수/맥박압 (혈역학적으로 안정) 상태로 응급실에 방문했습니다,3
환자가 고혈압(수축기혈압 200-220 그리고 이완기혈압 110-130) 고혈압 증상 동반 상태로 응급실에 방문했습니다,3
중증 상태로 분류된 환자가 급성발병 증상을 보이고 있습니다,3
중등도 불안/초조 또는 편집증(Paranoia)을 동반을 호소하는 환자가 있습니다,3
중증 상태로 분류된 환자가 만성 중심성 중증 통증(8-10) 증상을 보이고 있습니다,3
환자가 호흡곤란 없는 연하장애 상태로 응급실에 방문했습니다,3
중증 상태로 분류된 환자가 출혈성 질환(중등도나 경증의 출혈) 증상을 보이고 있습니다,3
현재 전구증상 후 발병 또는 급격한 자세변화시 발병 증상을 가진 환자가 중증 상태입니다,3
경증 상태로 분류된 환자가 알려진 저독성 물질 증상을 보이고 있습니다,4
임신주수>20주을 호소하는 환자가 있습니다,4
환자가 소변 배출장애 상태로 응급실에 방문했습니다,4
눈부심을 호소하는 환자가 있습니다,4
적은양의 직장출혈 상태가 관찰되는 환자가 있습니다,4
"객혈, 건강해보임 상태가 관찰되는 환자가 있습니다",4
"현재 고혈압(수축기혈압 200-220와 이완기혈압 110-130), 무증상 증상을 가진 환자가 경증 상태입니다",4
만성떨림을 호소하는 환자가 있습니다,4
현재 국소성 연조직염 증상을 가진 환자가 경증 상태입니다,4
환자가 임신주수>20주 증상을 보이며 경증 상태로 분류되었습니다,4
의식소실의 병력이 없음을 호소하는 환자가 있습니다,4
예측 FEV1 혹은 PEER이 60%이상인 알려진 천식(경증) 상태가 관찰되는 환자가 있습니다,4
"현재 석고붕대가 꽉 끼어 아프지만, 신경혈관 장애는 없음 증상을 가진 환자가 경증 상태입니다",4
"부종, 전신성, 정상활력 상태가 관찰되는 환자가 있습니다",4
"환자가 객혈, 건강해보임 증상을 보이며 경증 상태로 분류되었습니다",4
다뇨증 상태가 관찰되는 환자가 있습니다,4
"심계항진 병력, 현재는 회복된 상태 상태가 관찰되는 환자가 있습니다",4
"식욕부진, 건강해보임을 호소하는 환자가 있습니다",4
"숨참, 호흡곤란 없음을 호소하는 환자가 있습니다",4
"우울함, 자살 생각은 없음 상태가 관찰되는 환자가 있습니다",4
이명을 호소하는 환자가 있습니다,4
환자가 만성쇠약 증상을 보이며 경증 상태로 분류되었습니다,4
현재 >= 12시간; 손상없음 증상을 가진 환자가 경증 상태입니다,4
"동상없음, 정상 활력징후 상태가 관찰되는 환자가 있습니다",4
"숨참, 호흡곤란 없음 상태가 관찰되는 환자가 있습니다",4
만성쇠약을 호소하는 환자가 있습니다,4
환자가 급성 말초성 중등도 통증(4-7) 상태로 응급실에 방문했습니다,4
탈수의 가능성 있음 상태가 관찰되는 환자가 있습니다,4
환자가 임신주수<20주 증상을 보이며 경증 상태로 분류되었습니다,4
현재 알려진 저독성 물질 증상을 가진 환자가 경증 상태입니다,4
임신주수<20주 상태가 관찰되는 환자가 있습니다,4
현재 급성 말초성 중등도 통증(4-7) 증상을 가진 환자가 경증 상태입니다,4
환자가 활력징후가 정상이며 기저 질환이 없는 잇몸출혈 증상을 보이며 경증 상태로 분류되었습니다,4
열 상태가 관찰되는 환자가 있습니다,4
환자가 출혈이 동반된 찰과상 증상을 보이며 경증 상태로 분류되었습니다,4
환자가 >= 12시간; 손상없음 증상을 보이며 경증 상태로 분류되었습니다,4
환자가 다뇨증 증상을 보이며 경증 상태로 분류되었습니다,4
환자가 출혈이 동반된 찰과상 상태로 응급실에 방문했습니다,4
"환자가 정상 활력징후, 통증없음, 일상적인 체크 증상을 보이며 경증 상태로 분류되었습니다",4
현재 질출혈 (경증/점상출혈) 증상을 가진 환자가 경증 상태입니다,4
경증 상태로 분류된 환자가 봉합 필요 증상을 보이고 있습니다,4
"경증 상태로 분류된 환자가 객혈, 건강해보임 증상을 보이고 있습니다",4
"환자가 호흡기 이물질, 경증통증, 호흡곤란은 없음 상태로 응급실에 방문했습니다",4
눈부심 상태가 관찰되는 환자가 있습니다,4
"현재 우울함, 자살 생각은 없음 증상을 가진 환자가 경증 상태입니다",4
대처하기 어려운 상태 상태가 관찰되는 환자가 있습니다,4
환자가 급성 불면증 상태로 응급실에 방문했습니다,4
환자가 중증외상-둔상 상태로 응급실에 방문했습니다,4
